,Unnamed: 0,name,lng,lat,geometry,x,y
180,181,咸宁,114.328967,29.847123,POINT (12727042.38936098 3483914.0278059584),12727042.38936098,3483914.0278059584
181,182,许昌,113.858804,34.041737,POINT (12674704.08361114 4034407.6632661317),12674704.08361114,4034407.6632661317
182,183,保山,99.168373,25.117882,POINT (11039372.78515742 2890230.7322290014),11039372.78515742,2890230.7322290014
183,184,鹤壁,114.304044,35.752656,POINT (12724267.973691938 4266640.37583279),12724267.973691938,4266640.37583279
184,185,运城,111.013379,35.032587,POINT (12357952.82152069 4168310.469470657),12357952.82152069,4168310.469470657
185,186,达州,107.474504,31.214347,POINT (11964007.058539642 3660617.5804931694),11964007.058539642,3660617.5804931694
186,187,常德,111.704994,29.037723,POINT (12434943.051145678 3380448.2042267206),12434943.051145678,3380448.2042267206
187,188,酒泉,98.500427,39.738615,POINT (10965017.376560016 4828030.908367638),10965017.376560016,4828030.908367638
188,189,马鞍山,118.512691,31.67633,POINT (13192772.414660577 3720898.4970911494),13192772.414660577,3720898.4970911494
189,190,南阳,112.535009,32.996701,POINT (12527339.898296459 3894866.0845072516),12527339.898296459,3894866.0845072516
190,191,邵阳,111.474133,27.245167,POINT (12409243.722181652 3154135.6591411587),12409243.722181652,3154135.6591411587
191,192,黔南布依族苗族自治州,107.528663,26.260586,POINT (11970036.010841517 3031391.5965096895),11970036.010841517,3031391.5965096895
192,193,孝感,113.922962,30.930712,POINT (12681846.119501455 3623754.0430731094),12681846.119501455,3623754.0430731094
193,194,安顺,105.952622,26.259904,POINT (11794591.929252196 3031306.9394724793),11794591.929252196,3031306.9394724793
194,195,辽阳,123.243726,41.274452,POINT (13719428.82178573 5052907.943460098),13719428.82178573,5052907.943460098
195,196,黔西南布依族苗族自治州,104.910858,25.095974,POINT (11678623.291245433 2887537.479556982),11678623.291245433,2887537.479556982
196,197,克拉玛依,84.89587,45.585765,POINT (9450565.01885195 5714214.451937179),9450565.01885195,5714214.451937179
