,name,lng,lat,geometry,x,y
181,潜江市,112.8946969,30.40467719,POINT (12567380.17216896 3555674.10528844),12567380.17216896,3555674.10528844
182,天门市,113.160526,30.66605056,POINT (12596972.132218994 3589454.9733739775),12596972.132218994,3589454.9733739775
183,神农架林区,110.6707861,31.74728789,POINT (12319815.554343298 3730183.757671744),12319815.554343298,3730183.757671744
184,长沙市,112.933432,28.23181145,POINT (12571692.143776786 3278231.4711014614),12571692.143776786,3278231.4711014614
185,株洲市,113.1269527,27.83200163,POINT (12593234.769558745 3227809.502143304),12593234.769558745,3227809.502143304
186,湘潭市,112.9400052,27.83480661,POINT (12572423.86905367 3228162.601540703),12572423.86905367,3228162.601540703
187,衡阳市,112.5667809,26.89780145,POINT (12530876.730025994 3110709.1827362226),12530876.730025994,3110709.1827362226
188,邵阳市,111.4622915,27.24277281,POINT (12407925.532431426 3153835.8836308047),12407925.532431426,3153835.8836308047
189,岳阳市,113.1229579,29.35903584,POINT (12592790.070456924 3421423.101551646),12592790.070456924,3421423.101551646
190,常德市,111.6934394,29.03446997,POINT (12433656.798957359 3380034.021678073),12433656.798957359,3380034.021678073
191,张家界市,110.4739436,29.1202066,POINT (12297903.147476824 3390954.5559985144),12297903.147476824,3390954.5559985144
192,益阳市,112.3502833,28.55800079,POINT (12506776.327436028 3319508.8229489056),12506776.327436028,3319508.8229489056
193,郴州市,113.0100065,25.77307268,POINT (12580216.378124537 2971002.061586335),12580216.378124537,2971002.061586335
194,永州市,111.6082361,26.42344711,POINT (12424172.010987453 3051621.911603103),12424172.010987453,3051621.911603103
195,怀化市,109.9969076,27.57312105,POINT (12244799.742866764 3195259.9468382336),12244799.742866764,3195259.9468382336
196,娄底市,111.9889506,27.70315142,POINT (12466552.95526507 3211599.263792742),12466552.95526507,3211599.263792742
197,湘西土家族苗族自治州,109.7326965,28.31598291,POINT (12215387.897752834 3288870.732189527),12215387.897752834,3288870.732189527
198,广州市,113.2591693,23.13273722,POINT (12607953.054145161 2648078.8712992766),12607953.054145161,2648078.8712992766
199,韶关市,113.5921343,24.81403762,POINT (12645018.548397146 2852920.5634589526),12645018.548397146,2852920.5634589526
200,深圳市,114.0528249,22.54624409,POINT (12696302.391402394 2577235.992162369),12696302.391402394,2577235.992162369
201,珠海市,113.5718532,22.27465991,POINT (12642760.866672417 2544533.537890579),12642760.866672417,2544533.537890579
202,汕头市,116.6774881,23.35680908,POINT (12988478.562330237 2675226.07226613),12988478.562330237,2675226.07226613
203,佛山市,113.1161032,23.02390428,POINT (12592027.008743383 2634909.7119764127),12592027.008743383,2634909.7119764127
204,江门市,113.0760986,22.58163919,POINT (12587573.717041994 2581502.7705992376),12587573.717041994,2581502.7705992376
205,湛江市,110.3530451,21.27249285,POINT (12284444.788019154 2424400.2665674184),12284444.788019154,2424400.2665674184
206,茂名市,110.9210208,21.66550359,POINT (12347671.553726105 2471412.009332816),12347671.553726105,2471412.009332816
207,肇庆市,112.4599904,23.05036818,POINT (12518988.865944434 2638110.9544658507),12518988.865944434,2638110.9544658507
208,惠州市,114.4106185,23.11486532,POINT (12736131.792763485 2645915.5781259756),12736131.792763485,2645915.5781259756
209,梅州市,116.1172196,24.29145899,POINT (12926109.758202726 2788964.0890460736),12926109.758202726,2788964.0890460736
210,汕尾市,115.3706153,22.78983795,POINT (12842998.147702657 2606622.801112073),12842998.147702657,2606622.801112073
211,河源市,114.6955151,23.74692674,POINT (12767846.337204218 2722600.213686406),12767846.337204218,2722600.213686406
212,阳江市,111.978351,21.85957982,POINT (12465373.013190456 2494674.440313701),12465373.013190456,2494674.440313701
213,清远市,113.050616,23.6845243,POINT (12584737.006985907 2715012.871291507),12584737.006985907,2715012.871291507
214,东莞市,113.746691,23.02373844,POINT (12662223.721539835 2634889.6528919926),12662223.721539835,2634889.6528919926
215,中山市,113.3870348,22.5197135,POINT (12622186.97649519 2574038.5226970073),12622186.97649519,2574038.5226970073
216,潮州市,116.6175368,23.66040886,POINT (12981804.814141843 2712081.712272516),12981804.814141843,2712081.712272516
217,揭阳市,116.3680228,23.55336548,POINT (12954029.04271605 2699077.42645599),12954029.04271605,2699077.42645599
218,云浮市,112.0392034,22.91782059,POINT (12472147.071372006 2622083.4487730786),12472147.071372006,2622083.4487730786
219,南宁市,108.3623356,22.82038611,POINT (12062840.02016182 2610311.779485742),12062840.02016182,2610311.779485742
220,柳州市,109.423471,24.32914249,POINT (12180965.072552538 2793567.1542980787),12180965.072552538,2793567.1542980787
221,桂林市,110.1751278,25.23840009,POINT (12264639.124779839 2905055.232484362),12264639.124779839,2905055.232484362
222,梧州市,111.2739143,23.47932461,POINT (12386955.478450362 2690088.685369524),12386955.478450362,2690088.685369524
223,北海市,109.1159551,21.48369266,POINT (12146732.559153702 2449648.110613942),12146732.559153702,2449648.110613942
224,防城港市,108.3506746,21.68921758,POINT (12061541.923579682 2474252.739036748),12061541.923579682,2474252.739036748
225,钦州市,108.6505975,21.98377918,POINT (12094929.188084923 2509577.84310043),12094929.188084923,2509577.84310043
226,贵港市,109.5947121,23.1147211,POINT (12200027.544607416 2645898.1222763574),12200027.544607416,2645898.1222763574
227,玉林市,110.1765026,22.65680338,POINT (12264792.166815784 2590567.2383491513),12264792.166815784,2590567.2383491513
228,百色市,106.6152785,23.90597376,POINT (11868358.513403049 2741954.7812524484),11868358.513403049,2741954.7812524484
229,贺州市,111.5621031,24.40721914,POINT (12419036.508918686 2803108.6302277525),12419036.508918686,2803108.6302277525
230,河池市,108.080991,24.69565823,POINT (12031520.882552383 2838409.139234383),12031520.882552383,2838409.139234383
231,来宾市,109.2169412,23.75274377,POINT (12157974.280382901 2723307.6755869994),12157974.280382901,2723307.6755869994
232,崇左市,107.3608171,22.37988818,POINT (11951351.490721779 2557196.8812409653),11951351.490721779,2557196.8812409653
233,海口市,110.1941231,20.04791813,POINT (12266753.671903305 2278708.3521008394),12266753.671903305,2278708.3521008394
234,三亚市,109.5076242,18.25456966,POINT (12190332.963925162 2067367.1022695168),12190332.963925162,2067367.1022695168
235,三沙市,112.333737,16.8326352,POINT (12504934.401745515 1901351.461134112),12504934.401745515,1901351.461134112
236,儋州市,109.5768024,19.5229217,POINT (12198033.845923157 2216599.2701502256),12198033.845923157,2216599.2701502256
237,五指山市,109.512689,18.77662265,POINT (12190896.77488213 2128654.4216996483),12190896.77488213,2128654.4216996483
238,琼海市,110.4701752,19.26075935,POINT (12297483.651107717 2185660.289180829),12297483.651107717,2185660.289180829
239,文昌市,110.793037,19.54607362,POINT (12333424.462280318 2219333.9365997734),12333424.462280318,2219333.9365997734
240,万宁市,110.3881938,18.79525459,POINT (12288357.523405198 2130845.2276976104),12288357.523405198,2130845.2276976104
241,东方市,108.6482117,19.09704416,POINT (12094663.602043789 2166364.630802687),12094663.602043789,2166364.630802687
242,定安县,110.3535917,19.68294478,POINT (12284505.63525282 2235508.9658939103),12284505.63525282,2235508.9658939103
243,屯昌县,110.0972652,19.35321494,POINT (12255971.499795998 2196565.7138910056),12255971.499795998,2196565.7138910056
244,澄迈县,110.0032463,19.74077995,POINT (12245505.363723056 2242347.9047112297),12245505.363723056,2242347.9047112297
245,临高县,109.686338,19.91413609,POINT (12210227.293138893 2262861.9374034386),12210227.293138893,2262861.9374034386
246,白沙黎族自治县,109.4385966,19.22321617,POINT (12182648.84664248 2181233.7111343765),12182648.84664248,2181233.7111343765
247,昌江黎族自治县,109.0516679,19.29972616,POINT (12139576.140785178 2190255.7942475104),12139576.140785178,2190255.7942475104
